official_name,lat,lon,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Teachers Toilets,Total Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,District,Division,Location,Costituency
MALEZI SCHOOL PRI,-1.318627, 36.787432,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,9.4,10.9,8.2,12,8,8,2,0,70,61,131,0,0,0,0,0,0,4,10,3,5,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA
UHURU GARDENS PRI SCH,-1.325352, 36.787831,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY ONLY,ORDINARY,37.5,40.7,54.2,24,9,9,8,0,487,489,976,0,26,0,0,0,0,0,0,1,3,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA
LANGATA ROAD PRI SCH,-1.314933, 36.811195,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,35.9,45.4,50.7,19,6,11,3,0,444,418,862,1,21,0,1,1,0,0,0,1,1,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA
THREE BELLS ACADEMY,-1.303987, 36.769628,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,31.9,36.4,56.7,14,4,5,1,0,276,234,510,0,0,0,0,0,0,12,4,5,0,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,LANGATA
CLIQUE NINE ACADEMY PRI SCH.,-1.304333, 36.770027,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,12,12,,4,0,0,0,0,25,23,48,0,0,0,0,0,0,4,0,0,0,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,LANGATA
JOY ACADEMY PRIMARY,-1.305782, 36.771049,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.6,11.1,30.5,11,2,2,3,0,62,60,122,0,0,0,0,0,0,8,1,2,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
CECILIA ACADEMY,-1.307671, 36.771095,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY & BOARDING,ORDINARY,14.5,24.1,24.1,9,4,5,2,0,86,131,217,0,0,0,0,0,0,5,10,2,2,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
ST MICHAELS HOLY UNITY  PRIMARY SCH,-1.308223, 36.771274,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,16.3,34.4,51.7,9,3,3,2,0,159,151,310,0,0,0,0,5,4,3,7,3,2,NAIROBI,NAIROBI,KIBERA,LANGATA,LANGATA
AYANI ESTATE PRI SCH,-1.310756, 36.775934,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,57.6,74.7,96,27,10,11,6,0,983,1034,2017,4,27,0,2,0,2,0,0,4,2,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
OLYMPIC PRI SCH,-1.310756, 36.779531,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY ONLY,ORDINARY,79.5,77.1,110.7,33,14,9,2,0,1233,1312,2545,9,23,0,0,0,0,0,0,3,1,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
