official_name,lat,lon,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Teachers Toilets,Total Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,District,Division,Location,Costituency
KISUMU NDOGO PRI SCH,-1.310996, 36.788292,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,42.7,64,51.2,4,3,2,1,0,0,0,256,0,0,0,0,5,1,0,0,3,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
LINDI PRI. SCH,-1.312024, 36.790161,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,BOARDING ONLY,ORDINARY,15.9,21.9,35,8,3,2,1,0,88,87,175,0,0,0,0,6,2,0,3,9,3,NAIROBI,NAIROBI,KIBERA,MAKINA,LANGATA
ANWARJUNOIR ACADEMY,-1.311783, 36.792589,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,52.7,46.1,184.5,8,1,1,1,0,158,211,369,0,0,0,0,0,0,3,4,0,1,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
SILOAM FRIENDS MINISTRIES ACADEMY- PRI,-1.314477, 36.796953,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,15.3,30.5,152.5,10,1,1,1,0,0,0,305,0,0,0,0,0,0,13,7,2,1,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
DRUG FIGHTERS PRI SCH,-1.310584, 36.792426,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,9.3,6.2,18.5,6,1,1,0,0,22,15,37,0,0,0,0,0,0,2,2,5,2,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
MARANATHA LAINI SABA PRI SCH,-1.310351, 36.792681,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
HOPE RESTORATION PRI SCH,-1.309019, 36.792088,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,10.6,13.3,26.5,4,1,1,1,0,0,0,53,0,0,0,0,2,3,0,0,3,3,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
PATMOS PRI SCH,-1.308374, 36.791867,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,9.5,6.3,9.5,3,1,1,1,0,0,0,19,0,0,0,0,0,0,1,1,0,0,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
ST JOHNS ESCAPE PRI SCH,-1.307446, 36.791408,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,,22.1,22.1,12,6,6,3,0,140,125,265,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
KIBERA FREE METHODIST ACADEMY,-1.310417, 36.793867,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,INTEGRATED,21.9,24.6,19.7,8,4,6,2,0,89,108,197,0,0,0,0,0,0,4,5,2,1,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
SOWETO BAPTIST PRI SCH,-1.312875, 36.802638,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,15.8,17.8,71,8,1,1,1,0,69,73,142,0,0,0,0,0,0,5,4,0,3,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
VICTORIA HOPE CHILDREN CENTRE PRI SCH,-1.313157, 36.802069,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,,,ORDINARY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
KIBERA BLESSED ACADEMY - PRI,-1.313058, 36.801083,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,14.4,20.6,28.8,7,2,3,2,0,0,0,144,0,0,0,0,0,0,5,5,4,4,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
ST GABRIEL PRI SCH,-1.314088, 36.799257,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,14.7,18,13.5,9,6,6,3,0,95,67,162,0,0,0,0,4,7,0,0,2,6,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
UNDUGU BASIC ED PROGRAMME KIBERA,-1.314793, 36.799025,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,23.3,,,0,0,0,0,0,0,0,186,0,0,0,0,0,0,6,2,1,3,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
KIBERA SILANGA USHIRIKA GROUP PRI SCH,-1.315975, 36.797908,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,29.6,44.4,44.4,8,4,4,1,0,183,172,355,0,0,0,0,0,0,5,7,2,2,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
BEMACA ACADEMY - PRI,-1.314811, 36.794189,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,27.9,,,0,0,0,0,0,0,0,195,0,0,0,0,0,0,5,2,0,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
ST JOHN SCH KIBREA PRI,-1.316038, 36.795264,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,57,57,199.5,7,1,1,1,0,201,198,399,0,0,0,0,0,0,3,4,2,2,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
ST PHILIPE PRI SCH,-1.316379, 36.793574,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,18.7,11.9,10.9,11,6,6,2,0,65,66,131,0,0,0,0,0,0,5,2,1,1,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
KIBERA SILANGA BIBLE BAPTIST PRI SCH,-1.315809, 36.793682,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,26.6,29,63.8,11,2,3,2,0,153,166,319,0,0,0,0,0,0,7,5,0,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
MOC PRI SCH,-1.313182, 36.794365,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,19.8,19.8,24.8,10,4,4,2,0,0,0,198,0,0,0,0,7,3,0,0,0,4,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
LINDI USHIRIKA WA USAFI NA MAENDELEO-PRI SCH,-1.312411, 36.789482,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,17.9,23,80.5,7,1,1,1,0,0,0,161,0,0,0,0,0,0,1,8,0,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
ST JUDY ACADEMY PRI SCH.,-1.311957, 36.7811161,PRIMARY SCHOOL,PRIVATE,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,9.7,14.5,21.8,6,2,2,1,0,28,59,87,0,0,0,0,0,0,1,8,0,2,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
BETHEL CHILDREN CENTRE PRI SCH,-1.311743, 36.783035,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,7.3,11,22,2,1,0,0,0,10,12,22,0,0,0,0,0,0,0,3,0,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
BARAKA ZA IBRAHIM CHLDREN CENTER-PRI SCH,-1.312401, 36.783829,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY & BOARDING,ORDINARY,26.7,36.8,32.7,8,4,5,1,0,130,164,294,0,0,0,0,0,0,8,3,5,6,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
CANA JUNOIR ACADEMY PRI,-1.312382, 36.784524,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,5.3,3.2,8,5,1,1,1,0,10,6,16,0,0,0,0,0,3,0,0,0,2,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
NEEMA PRI SCH,-1.312373, 36.78547,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,24.6,27.6,44.2,8,2,3,2,0,0,0,221,0,0,0,0,3,6,0,0,2,1,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
GATWEKERA MISSIONARIES OF CHARITY PRI SCH,-1.312258, 36.78161,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,,,ORDINARY,25.8,29.4,51.5,7,2,2,1,0,0,0,206,0,0,0,0,0,0,0,8,1,1,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
GUUM PRI SCH,-1.313273, 36.781421,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,INTEGRATED,27,27,27,2,1,1,1,0,21,33,54,0,0,0,0,0,0,0,2,0,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
ST CHARLES LWANGA PRI SCH,-1.31615, 36.780411,PRIMARY SCHOOL,PRIVATE,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY ONLY,ORDINARY,28.4,28.4,25.2,8,3,6,2,0,117,110,227,0,0,0,0,0,0,4,4,1,0,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA
ANAJALI PRI SCH,-1.316309, 36.778494,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,BOARDING ONLY,INTEGRATED,26.3,23.9,87.7,11,2,1,1,0,0,0,263,0,0,0,0,7,3,0,0,0,2,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA
ST CATHERINE COMM CENTER PRI SCH,-1.316309, 36.778494,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,7.3,9.1,36.5,8,1,1,1,0,38,35,73,0,0,0,0,0,0,7,3,0,0,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA
MISSIONARIES OF CHARITY BROTHERS PRI SCH,-1.307214, 36.77183,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,,,ORDINARY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
JAMII ACADEMY PRI,-1.311287, 36.78057,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,5.5,11,11,1,1,0,1,0,5,6,11,0,0,0,0,0,0,0,2,0,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
DALUZA PRI SCH,-1.311754, 36.779994,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4,4,1.3,1,2,1,1,0,0,4,4,0,0,0,0,0,0,0,1,0,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
SEED JUNIOR ACADEMY PRI,-1.316141, 36.779135,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,2,6,3,1,1,1,1,0,3,3,6,0,0,0,0,0,0,1,2,2,0,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA
HOYWICK ACADEMY PRI,-1.316341, 36.778698,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,3.5,10.5,10.5,2,1,1,1,0,12,9,21,0,0,0,0,0,0,2,4,3,2,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA
BETHSAIDA ACADEMY PRI,-1.316668, 36.777584,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,31.5,15.8,31.5,4,1,1,2,0,31,32,63,0,0,0,0,1,1,0,0,1,2,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA
LIFESPRING CHRISTIAN ACADMY PRI,-1.314553, 36.786538,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,BOARDING ONLY,ORDINARY,16.6,18.6,9.9,8,5,10,2,0,0,0,149,0,0,0,0,0,0,3,6,0,0,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA
WHITE STAR ACADEMY PRI,-1.318465, 36.798216,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22.9,21.2,14.5,13,9,10,3,0,159,116,275,0,0,0,0,0,0,5,7,5,4,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA
WHITE STAR ACADEMY- HIGHRISE PRI,-1.313587, 36.802924,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
ST AUGUSTUS PRI SCH,-1.312037, 36.789535,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.2,23.9,23.9,8,4,4,2,0,0,0,191,0,0,0,0,3,6,0,0,1,2,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
